label,label_str,message,cleaned_message
1,SPAM,CANCLE,cancle
1,SPAM,Your plan Smallie.is going to be renewed. Please send CANCEL if you do not want this to happen,your plan smallie going renewed please send cancel you not want happen
1,SPAM,"Dear Glo subscriber, you just passed 80% of your Plan Validity Period. Glo Unlimited.",dear glo subscriber you passed 80 your plan validity period glo unlimited
1,SPAM,Welcome to Smallie. It will expire on 04/09/2014 14:19,welcome smallie will expire 04 09 2014 14 19
1,SPAM,Info,info
1,SPAM,Please send :1 for  Day Plans2 for  Week Plans3 for  Monthly Plans4 for  Time Based Monthly Plans,please send day plans2 week plans3 monthly plans4 time based monthly plans
1,SPAM,ACTIVATE,activate
1,SPAM,Please send ACTIVATE to 127 for a list of options,please send activate 127 list options
1,SPAM,PAYYOU,payyou
1,SPAM,STOP,stop
1,SPAM,"Dear Customer, your 10MB 1-Day Mobile Data plan has expired: 29/Aug/2014 10:38. Subscribe to a data plan now or continue browsing at bundle rate.",dear customer your 10mb day mobile data plan expired 29 aug 2014 10 38 subscribe data plan now continue browsing bundle rate
1,SPAM,"Y'ello! You have 193.53MB in your SME shared data bundle, it expires on 29/Sep/2014 12:00. Thank you",ello you 193 53mb your sme shared data bundle expires 29 sep 2014 12 00 thank you
1,SPAM,"Y'ello! You have 500.00MB in your SME shared data bundle, it expires on 29/Sep/2014 12:00. Thank you",ello you 500 00mb your sme shared data bundle expires 29 sep 2014 12 00 thank you
1,SPAM,Y'ello! You have received 250.00MB SME Data Share from 8101541954. Thank you.,ello you received 250 00mb sme data share 8101541954 thank you
0,HAM,"Here's a genuine Birthday prayer from the heart of one friend to another, May you have the world at your feet someday and may we always be together. Happy Birthday!Sunday",genuine birthday prayer heart one friend another may you world your feet someday may always together happy birthday sunday
0,HAM,"A million and one THANKS is nt enough to appreciate a beautiful Person like u. Txs 4 d luv, Prayers,best wishes n gifts. God bless u immersly. Lots of luv",million one thanks not enough appreciate beautiful person like txs love prayers best wishes gifts god bless immersly lots love
1,SPAM,"access>>>Credit AlertAmt: NGN 27,000.00 CrAcc: 0034289042Desc: CD BY BABALOLA AKIN O/A4156936Time: 01/09/14 ?9:27 AMBal: NGN 28,1.44",access credit alertamt ngn 27 000 00 cracc 0034289042desc cd babalola akin a4156936time 01 09 14 27 ambal ngn 28 44
1,SPAM,"access>>>Debit AlertAmt: NGN 3,000.00 DrAcc: 0034289042Desc: 10440377-ATM CASH WITHDRAWAL FTime: 22/08/14  5:53 PMBal: NGN 3,423.44",access debit alertamt ngn 000 00 dracc 0034289042desc 10440377 atm cash withdrawal ftime 22 08 14 53 pmbal ngn 423 44
